time,T_Dalam,H_Dalam
"""2021-02-25T01:36:48.009Z""",27.3,70.4
"""2021-02-25T01:36:51.006Z""",27.3,69.2
"""2021-02-25T01:36:54.009Z""",27.3,70.5
"""2021-02-25T01:36:57.006Z""",27.3,70.5
"""2021-02-25T01:37:00.019Z""",27.3,70.6
"""2021-02-25T01:37:03.006Z""",27.3,70.5
"""2021-02-25T01:37:06.009Z""",27.3,70.4
"""2021-02-25T01:37:09.008Z""",27.3,70.4
"""2021-02-25T01:37:12.006Z""",27.3,70.4
"""2021-02-25T01:37:15.009Z""",27.3,70.4
"""2021-02-25T01:37:18.008Z""",27.3,70.4
"""2021-02-25T01:37:21.006Z""",27.2,69.3
"""2021-02-25T01:37:24.009Z""",27.2,70.3
"""2021-02-25T01:37:27.006Z""",27.3,70.4
"""2021-02-25T01:37:30.009Z""",27.2,70.3
"""2021-02-25T01:37:33.006Z""",27.2,70.3
"""2021-02-25T01:37:36.007Z""",27.2,70.2
"""2021-02-25T01:37:39.009Z""",27.2,70.3
"""2021-02-25T01:37:42.007Z""",27.2,69
"""2021-02-25T01:37:45.007Z""",27.2,70.4
"""2021-02-25T01:37:48.010Z""",27.2,70.3
"""2021-02-25T01:37:51.013Z""",27.2,70.3
"""2021-02-25T01:37:54.008Z""",27.2,70.3
"""2021-02-25T01:37:57.011Z""",27.2,70.3
"""2021-02-25T01:38:00.014Z""",27.1,70.2
"""2021-02-25T01:38:03.011Z""",27.1,70.1
"""2021-02-25T01:38:06.006Z""",27.1,70.1
"""2021-02-25T01:38:09.016Z""",27.1,70.1
"""2021-02-25T01:38:12.007Z""",27.1,68.7
"""2021-02-25T01:38:15.014Z""",27.1,70
"""2021-02-25T01:38:18.036Z""",27.1,70
"""2021-02-25T01:38:21.006Z""",27.1,70
"""2021-02-25T01:38:24.011Z""",27.1,70
"""2021-02-25T01:38:27.012Z""",27.1,70
"""2021-02-25T01:38:30.022Z""",27.1,70
"""2021-02-25T01:38:33.014Z""",27.1,70
"""2021-02-25T01:38:36.006Z""",27.1,70
"""2021-02-25T01:38:39.009Z""",27,70
"""2021-02-25T01:38:42.010Z""",27,69.1
"""2021-02-25T01:38:45.007Z""",27,70
"""2021-02-25T01:38:48.011Z""",27,69.9
"""2021-02-25T01:38:51.005Z""",27,69.9
"""2021-02-25T01:38:54.015Z""",27,69.9
"""2021-02-25T01:38:57.013Z""",27,69.9
"""2021-02-25T01:39:00.015Z""",27,69.9
"""2021-02-25T01:39:03.010Z""",27,70.1
"""2021-02-25T01:39:06.008Z""",27,69.9
"""2021-02-25T01:39:09.011Z""",26.9,69.8
"""2021-02-25T01:39:12.012Z""",26.9,69.9
"""2021-02-25T01:39:15.007Z""",26.9,69.9
"""2021-02-25T01:39:18.011Z""",26.9,69.9
"""2021-02-25T01:39:21.006Z""",26.9,69.8
"""2021-02-25T01:39:24.011Z""",26.9,69.8
"""2021-02-25T01:39:27.010Z""",26.9,69.8
"""2021-02-25T01:39:30.006Z""",26.9,69.8
"""2021-02-25T01:39:33.010Z""",26.9,68.6
"""2021-02-25T01:39:36.010Z""",26.9,69.9
"""2021-02-25T01:39:39.007Z""",26.9,69.8
"""2021-02-25T01:39:42.007Z""",26.9,69.8
"""2021-02-25T01:39:45.009Z""",26.9,69.8
"""2021-02-25T01:39:48.007Z""",26.9,69.7
"""2021-02-25T01:39:51.010Z""",26.8,69.7
"""2021-02-25T01:39:54.006Z""",26.9,69.8
"""2021-02-25T01:39:57.017Z""",26.9,69.8
"""2021-02-25T01:40:00.017Z""",26.8,69.6
"""2021-02-25T01:40:03.005Z""",26.8,68.9
"""2021-02-25T01:40:06.009Z""",26.8,69.6
"""2021-02-25T01:40:09.006Z""",26.9,69.7
"""2021-02-25T01:40:12.012Z""",26.8,69.6
"""2021-02-25T01:40:15.006Z""",26.8,69.6
"""2021-02-25T01:40:18.005Z""",26.8,69.5
"""2021-02-25T01:40:21.009Z""",26.8,69.5
"""2021-02-25T01:40:24.006Z""",26.8,69.5
"""2021-02-25T01:40:27.008Z""",26.8,69.5
"""2021-02-25T01:40:30.005Z""",26.8,69.6
"""2021-02-25T01:40:33.008Z""",26.8,69.6
"""2021-02-25T01:40:36.009Z""",26.7,69.4
"""2021-02-25T01:40:39.005Z""",26.8,69.6
"""2021-02-25T01:40:42.008Z""",26.7,69.4
"""2021-02-25T01:40:45.005Z""",26.8,69.5
"""2021-02-25T01:40:48.021Z""",26.7,69.4
"""2021-02-25T01:40:51.004Z""",26.8,69.4
"""2021-02-25T01:40:54.008Z""",26.7,68
"""2021-02-25T01:40:57.008Z""",26.7,69.3
"""2021-02-25T01:41:00.012Z""",26.7,69.4
"""2021-02-25T01:41:03.007Z""",26.7,69.4
"""2021-02-25T01:41:06.008Z""",26.7,69.3
"""2021-02-25T01:41:09.004Z""",26.7,69.4
"""2021-02-25T01:41:12.007Z""",26.7,69.4
"""2021-02-25T01:41:15.008Z""",26.7,69.3
"""2021-02-25T01:41:18.003Z""",26.7,69.3
"""2021-02-25T01:41:21.010Z""",26.7,69.3
"""2021-02-25T01:41:24.003Z""",26.7,68.4
"""2021-02-25T01:41:27.008Z""",26.7,69.3
"""2021-02-25T01:41:30.004Z""",26.7,69.3
"""2021-02-25T01:41:33.006Z""",26.7,69.3
"""2021-02-25T01:41:36.003Z""",26.7,69.2
"""2021-02-25T01:41:39.007Z""",26.7,69.2
"""2021-02-25T01:41:42.006Z""",26.7,69.1
"""2021-02-25T01:41:45.005Z""",26.6,69.1
"""2021-02-25T01:41:48.008Z""",26.6,69
"""2021-02-25T01:41:51.006Z""",26.6,69.1
"""2021-02-25T01:41:54.003Z""",26.6,69.1
"""2021-02-25T01:41:57.006Z""",26.6,69.2
"""2021-02-25T01:42:00.009Z""",26.6,69.2
"""2021-02-25T01:42:03.005Z""",26.6,69.1
"""2021-02-25T01:42:06.004Z""",26.6,69
"""2021-02-25T01:42:09.006Z""",26.6,69
"""2021-02-25T01:42:12.006Z""",26.6,69
"""2021-02-25T01:42:15.009Z""",26.6,68.2
"""2021-02-25T01:42:18.006Z""",26.5,69
"""2021-02-25T01:42:21.003Z""",26.6,69
"""2021-02-25T01:42:24.005Z""",26.6,68.9
"""2021-02-25T01:42:27.006Z""",26.6,68.8
"""2021-02-25T01:42:30.005Z""",26.6,68.9
"""2021-02-25T01:42:33.005Z""",26.6,68.9
"""2021-02-25T01:42:36.003Z""",26.5,68.8
"""2021-02-25T01:42:39.005Z""",26.5,68.8
"""2021-02-25T01:42:42.003Z""",26.5,68.7
"""2021-02-25T01:42:45.005Z""",26.5,67.9
"""2021-02-25T01:42:48.003Z""",26.5,68.7
"""2021-02-25T01:42:51.006Z""",26.5,68.7
"""2021-02-25T01:42:54.005Z""",26.5,68.7
"""2021-02-25T01:42:57.006Z""",26.5,68.7
"""2021-02-25T01:43:00.009Z""",26.5,68.7
"""2021-02-25T01:43:03.006Z""",26.5,68.7
"""2021-02-25T01:43:06.007Z""",26.5,68.6
"""2021-02-25T01:43:09.002Z""",26.4,68.5
"""2021-02-25T01:43:12.005Z""",26.5,68.5
"""2021-02-25T01:43:15.002Z""",26.5,68.6
"""2021-02-25T01:43:18.002Z""",26.4,68.6
"""2021-02-25T01:43:21.007Z""",26.5,68.6
"""2021-02-25T01:43:24.002Z""",26.5,68.5
"""2021-02-25T01:43:27.006Z""",26.4,68.5
"""2021-02-25T01:43:30.002Z""",26.4,68.5
"""2021-02-25T01:43:33.005Z""",26.4,68.6
"""2021-02-25T01:43:36.013Z""",26.4,67.5
"""2021-02-25T01:43:39.004Z""",26.4,68.5
"""2021-02-25T01:43:42.002Z""",26.4,68.4
"""2021-02-25T01:43:45.016Z""",26.4,68.5
"""2021-02-25T01:43:48.004Z""",26.4,68.5
"""2021-02-25T01:43:51.002Z""",26.4,68.6
"""2021-02-25T01:43:54.005Z""",26.4,68.5
"""2021-02-25T01:43:57.005Z""",26.4,68.5
"""2021-02-25T01:44:00.009Z""",26.4,68.5
"""2021-02-25T01:44:03.003Z""",26.4,68.6
"""2021-02-25T01:44:06.003Z""",26.4,67.7
"""2021-02-25T01:44:09.002Z""",26.4,68.3
"""2021-02-25T01:44:12.004Z""",26.4,68.3
"""2021-02-25T01:44:15.010Z""",26.4,68.3
"""2021-02-25T01:44:18.005Z""",26.4,68.2
"""2021-02-25T01:44:21.002Z""",26.4,68.4
"""2021-02-25T01:44:24.004Z""",26.4,68.4
"""2021-02-25T01:44:27.002Z""",26.4,68.4
"""2021-02-25T01:44:30.010Z""",26.4,68.4
"""2021-02-25T01:44:33.003Z""",26.4,68.3
"""2021-02-25T01:44:36.001Z""",26.4,66.9
"""2021-02-25T01:44:39.005Z""",26.4,68.3
"""2021-02-25T01:44:42.003Z""",26.3,68.1
"""2021-02-25T01:44:45.001Z""",26.3,68.3
"""2021-02-25T01:44:48.004Z""",26.3,68.3
"""2021-02-25T01:44:51.002Z""",26.3,68.3
"""2021-02-25T01:44:54.003Z""",26.3,68.3
"""2021-02-25T01:44:57.007Z""",26.3,67.2
"""2021-02-25T01:45:00.010Z""",26.3,68.2
"""2021-02-25T01:45:03.003Z""",26.3,68.3
"""2021-02-25T01:45:06.012Z""",26.3,68.1
"""2021-02-25T01:45:09.001Z""",26.3,68.1
"""2021-02-25T01:45:12.009Z""",26.3,68
"""2021-02-25T01:45:15.003Z""",26.3,67.9
"""2021-02-25T01:45:18.003Z""",26.3,67.9
"""2021-02-25T01:45:21.003Z""",26.3,67.9
"""2021-02-25T01:45:24.002Z""",26.3,68
"""2021-02-25T01:45:27.006Z""",26.3,67
"""2021-02-25T01:45:30.003Z""",26.3,67.9
"""2021-02-25T01:45:33.003Z""",26.3,67.8
"""2021-02-25T01:45:36.001Z""",26.3,67.8
"""2021-02-25T01:45:39.003Z""",26.3,67.8
"""2021-02-25T01:45:42.001Z""",26.3,67.8
"""2021-02-25T01:45:45.003Z""",26.3,67.9
"""2021-02-25T01:45:48.001Z""",26.2,68
"""2021-02-25T01:45:51.004Z""",26.3,68.1
"""2021-02-25T01:45:54.000Z""",26.2,68
"""2021-02-25T01:45:57.003Z""",26.2,66.5
"""2021-02-25T01:46:00.013Z""",26.2,67.8
"""2021-02-25T01:46:03.000Z""",26.2,67.7
"""2021-02-25T01:46:06.001Z""",26.3,67.7
"""2021-02-25T01:46:09.000Z""",26.2,67.8
"""2021-02-25T01:46:12.003Z""",26.2,67.7
"""2021-02-25T01:46:15.000Z""",26.2,67.6
"""2021-02-25T01:46:18.004Z""",26.3,66.7
"""2021-02-25T01:46:21.006Z""",26.2,67.6
