time,PMV,PPD
"""2021-02-25T01:44:53.826Z""",-0.12,5.3
"""2021-02-25T01:45:01.455Z""",-0.14,5.4
"""2021-02-25T01:45:11.005Z""",-0.13,5.4
"""2021-02-25T01:45:19.449Z""",-0.13,5.4
"""2021-02-25T01:45:28.590Z""",-0.13,5.4
"""2021-02-25T01:45:37.649Z""",-0.13,5.4
"""2021-02-25T01:45:43.938Z""",-0.13,5.4
"""2021-02-25T01:45:49.361Z""",-0.13,5.4
"""2021-02-25T01:45:55.550Z""",-0.13,5.4
"""2021-02-25T01:46:04.227Z""",-0.16,5.6
"""2021-02-25T01:46:10.413Z""",-0.14,5.4
"""2021-02-25T01:46:17.134Z""",-0.17,5.6
"""2021-02-25T01:46:22.094Z""",-0.14,5.4
"""2021-02-25T01:46:29.272Z""",-0.17,5.6
"""2021-02-25T01:46:35.323Z""",-0.17,5.6
"""2021-02-25T01:46:43.049Z""",-0.2,5.8
"""2021-02-25T01:46:51.807Z""",-0.17,5.6
"""2021-02-25T01:47:00.980Z""",-0.2,5.9
"""2021-02-25T01:47:07.958Z""",-0.2,5.9
"""2021-02-25T01:47:16.514Z""",-0.17,5.6
"""2021-02-25T01:47:25.493Z""",-0.2,5.9
"""2021-02-25T01:47:31.293Z""",-0.2,5.8
"""2021-02-25T01:47:37.170Z""",-0.2,5.9
"""2021-02-25T01:47:46.486Z""",-0.2,5.9
"""2021-02-25T01:47:52.584Z""",-0.22,6
"""2021-02-25T01:47:58.609Z""",-0.2,5.9
"""2021-02-25T01:48:03.994Z""",-0.2,5.9
"""2021-02-25T01:48:09.985Z""",-0.2,5.9
"""2021-02-25T01:48:20.391Z""",-0.21,5.9
"""2021-02-25T01:48:26.355Z""",-0.21,5.9
"""2021-02-25T01:48:35.299Z""",-0.21,5.9
"""2021-02-25T01:48:41.723Z""",-0.21,5.9
"""2021-02-25T01:48:47.443Z""",-0.21,5.9
"""2021-02-25T01:48:53.199Z""",-0.21,5.9
"""2021-02-25T01:48:59.059Z""",-0.21,5.9
"""2021-02-25T01:49:08.676Z""",-0.21,5.9
"""2021-02-25T01:49:17.500Z""",-0.21,5.9
"""2021-02-25T01:49:23.450Z""",-0.21,5.9
"""2021-02-25T01:49:28.996Z""",-0.24,6.2
"""2021-02-25T01:49:35.434Z""",-0.24,6.2
"""2021-02-25T01:49:41.096Z""",-0.28,6.6
"""2021-02-25T01:49:49.492Z""",-0.28,6.6
"""2021-02-25T01:50:00.432Z""",-0.21,5.9
"""2021-02-25T01:50:07.591Z""",-0.28,6.6
"""2021-02-25T01:50:13.113Z""",-0.28,6.6
"""2021-02-25T01:50:21.813Z""",-0.28,6.6
"""2021-02-25T01:50:28.007Z""",-0.28,6.6
"""2021-02-25T01:50:34.302Z""",-0.29,6.7
"""2021-02-25T01:50:40.184Z""",-0.28,6.6
"""2021-02-25T01:50:49.187Z""",-0.28,6.6
"""2021-02-25T01:50:58.094Z""",-0.28,6.6
"""2021-02-25T01:51:08.022Z""",-0.31,7.1
"""2021-02-25T01:51:12.904Z""",-0.28,6.6
"""2021-02-25T01:51:19.120Z""",-0.09,5.2
"""2021-02-25T01:51:26.140Z""",-0.12,5.3
"""2021-02-25T01:51:34.141Z""",-0.06,5.1
"""2021-02-25T01:51:40.504Z""",-0.12,5.3
"""2021-02-25T01:51:49.279Z""",-0.05,5.1
"""2021-02-25T01:51:58.413Z""",-0.08,5.1
"""2021-02-25T01:52:04.680Z""",-0.08,5.1
"""2021-02-25T01:52:12.844Z""",-0.05,5.1
"""2021-02-25T01:52:19.150Z""",-0.08,5.1
"""2021-02-25T01:52:28.299Z""",-0.07,5.1
"""2021-02-25T01:52:37.682Z""",-0.05,5.1
"""2021-02-25T01:52:43.183Z""",-0.06,5.1
"""2021-02-25T01:52:52.004Z""",-0.06,5.1
"""2021-02-25T01:53:01.222Z""",-0.06,5.1
"""2021-02-25T01:53:07.439Z""",-0.07,5.1
"""2021-02-25T01:53:13.191Z""",-0.03,5
"""2021-02-25T01:53:21.887Z""",-0.03,5
"""2021-02-25T01:53:31.422Z""",-0.03,5
"""2021-02-25T01:53:39.544Z""",-0.03,5
"""2021-02-25T01:53:46.985Z""",-0.07,5.1
"""2021-02-25T01:53:56.580Z""",0,5
"""2021-02-25T01:54:06.323Z""",0,5
"""2021-02-25T01:54:11.221Z""",0,5
"""2021-02-25T01:54:20.579Z""",0,5
"""2021-02-25T01:54:29.801Z""",0,5
"""2021-02-25T01:54:35.440Z""",0.01,5
"""2021-02-25T01:54:43.504Z""",0.01,5
"""2021-02-25T01:54:49.701Z""",0.01,5
"""2021-02-25T01:54:55.164Z""",0.01,5
"""2021-02-25T01:55:04.261Z""",0.01,5
"""2021-02-25T01:55:10.161Z""",0.01,5
"""2021-02-25T01:55:19.341Z""",0.01,5
"""2021-02-25T01:55:25.356Z""",0.01,5
"""2021-02-25T01:55:30.941Z""",0.07,5.1
"""2021-02-25T01:55:40.062Z""",0.07,5.1
"""2021-02-25T01:55:46.646Z""",0.07,5.1
"""2021-02-25T01:55:52.352Z""",0.07,5.1
"""2021-02-25T01:56:01.768Z""",0.08,5.1
"""2021-02-25T01:56:10.724Z""",0.07,5.1
"""2021-02-25T01:56:19.145Z""",0.08,5.1
"""2021-02-25T01:56:25.693Z""",0.07,5.1
"""2021-02-25T01:56:33.945Z""",0.08,5.1
"""2021-02-25T01:56:40.315Z""",0.1,5.2
"""2021-02-25T01:56:46.489Z""",0.09,5.2
"""2021-02-25T01:56:52.027Z""",0.08,5.1
"""2021-02-25T01:57:01.273Z""",0.08,5.1
"""2021-02-25T01:57:07.982Z""",-0.07,5.1
"""2021-02-25T01:57:13.268Z""",-0.07,5.1
"""2021-02-25T01:57:20.249Z""",-0.07,5.1
"""2021-02-25T01:57:26.547Z""",-0.07,5.1
"""2021-02-25T01:57:34.596Z""",-0.05,5.1
"""2021-02-25T01:57:40.394Z""",-0.08,5.1
"""2021-02-25T01:57:49.917Z""",-0.09,5.2
"""2021-02-25T01:57:58.607Z""",-0.09,5.2
"""2021-02-25T01:58:04.123Z""",-0.09,5.2
"""2021-02-25T01:58:14.085Z""",-0.09,5.2
"""2021-02-25T01:58:22.265Z""",-0.09,5.2
"""2021-02-25T01:58:28.363Z""",-0.09,5.2
"""2021-02-25T01:58:37.878Z""",-0.09,5.2
"""2021-02-25T01:58:43.100Z""",-0.09,5.2
"""2021-02-25T01:58:52.577Z""",-0.09,5.2
"""2021-02-25T01:59:01.646Z""",-0.09,5.2
"""2021-02-25T01:59:07.405Z""",-0.12,5.3
"""2021-02-25T01:59:16.598Z""",-0.12,5.3
"""2021-02-25T01:59:26.112Z""",-0.13,5.4
"""2021-02-25T01:59:31.250Z""",-0.13,5.4
"""2021-02-25T01:59:38.163Z""",-0.13,5.4
"""2021-02-25T01:59:47.024Z""",-0.13,5.4
"""2021-02-25T01:59:52.553Z""",-0.13,5.4
"""2021-02-25T02:00:02.192Z""",-0.17,5.6
"""2021-02-25T02:00:07.905Z""",-0.17,5.6
"""2021-02-25T02:00:16.558Z""",-0.16,5.6
"""2021-02-25T02:00:22.346Z""",-0.16,5.6
"""2021-02-25T02:00:31.026Z""",-0.17,5.6
"""2021-02-25T02:00:41.324Z""",-0.18,5.6
"""2021-02-25T02:00:46.382Z""",-0.2,5.8
"""2021-02-25T02:00:52.720Z""",-0.2,5.8
"""2021-02-25T02:00:59.222Z""",-0.2,5.8
"""2021-02-25T02:01:04.263Z""",-0.2,5.8
"""2021-02-25T02:01:10.890Z""",-0.2,5.8
"""2021-02-25T02:01:19.702Z""",-0.01,5
"""2021-02-25T02:01:28.392Z""",-0.01,5
"""2021-02-25T02:01:38.654Z""",-0.04,5
"""2021-02-25T02:01:43.724Z""",0.03,5
"""2021-02-25T02:01:53.984Z""",-0.03,5
"""2021-02-25T02:02:02.829Z""",-0.04,5
"""2021-02-25T02:02:09.040Z""",-0.01,5
"""2021-02-25T02:02:14.627Z""",0,5
"""2021-02-25T02:02:24.008Z""",0,5
"""2021-02-25T02:02:29.568Z""",0,5
"""2021-02-25T02:02:35.232Z""",0,5
"""2021-02-25T02:02:41.760Z""",0,5
"""2021-02-25T02:02:47.813Z""",0,5
"""2021-02-25T02:02:57.311Z""",-0.02,5
"""2021-02-25T02:03:03.999Z""",-0.02,5
"""2021-02-25T02:03:08.238Z""",-0.02,5
"""2021-02-25T02:03:14.520Z""",-0.02,5
"""2021-02-25T02:03:23.607Z""",0,5
"""2021-02-25T02:03:31.626Z""",0.04,5
"""2021-02-25T02:03:37.336Z""",0.01,5
"""2021-02-25T02:03:43.692Z""",0.04,5
"""2021-02-25T02:03:49.140Z""",0.04,5
"""2021-02-25T02:03:58.626Z""",0.04,5
"""2021-02-25T02:04:04.472Z""",0.04,5
"""2021-02-25T02:04:13.365Z""",0.04,5
"""2021-02-25T02:04:23.097Z""",0.04,5
"""2021-02-25T02:04:28.957Z""",0.08,5.1
"""2021-02-25T02:04:38.201Z""",0.08,5.1
"""2021-02-25T02:04:47.567Z""",0.07,5.1
"""2021-02-25T02:04:53.743Z""",0.08,5.1
"""2021-02-25T02:05:01.673Z""",0.08,5.1
"""2021-02-25T02:05:10.429Z""",0.08,5.1
"""2021-02-25T02:05:17.315Z""",0.09,5.2
"""2021-02-25T02:05:22.831Z""",0.08,5.1
"""2021-02-25T02:05:31.720Z""",0.06,5.1
"""2021-02-25T02:05:38.021Z""",0.11,5.2
"""2021-02-25T02:05:46.780Z""",0.09,5.2
"""2021-02-25T02:05:53.190Z""",0.09,5.2
"""2021-02-25T02:06:01.987Z""",0.09,5.2
"""2021-02-25T02:06:08.188Z""",0.11,5.2
"""2021-02-25T02:06:16.550Z""",0.09,5.2
"""2021-02-25T02:06:22.724Z""",0.15,5.5
"""2021-02-25T02:06:31.459Z""",0.15,5.5
"""2021-02-25T02:06:38.004Z""",0.15,5.5
"""2021-02-25T02:06:46.926Z""",0.15,5.5
"""2021-02-25T02:06:52.738Z""",0.15,5.5
"""2021-02-25T02:07:02.028Z""",0.15,5.5
"""2021-02-25T02:07:07.603Z""",-0.07,5.1
"""2021-02-25T02:07:16.343Z""",-0.07,5.1
"""2021-02-25T02:07:23.293Z""",-0.07,5.1
"""2021-02-25T02:07:32.233Z""",-0.07,5.1
"""2021-02-25T02:07:38.153Z""",-0.07,5.1
"""2021-02-25T02:07:46.922Z""",-0.07,5.1
"""2021-02-25T02:07:52.812Z""",-0.07,5.1
"""2021-02-25T02:08:02.068Z""",-0.05,5.1
"""2021-02-25T02:08:07.938Z""",-0.08,5.1
"""2021-02-25T02:08:16.968Z""",-0.08,5.1
"""2021-02-25T02:08:25.473Z""",-0.09,5.2
"""2021-02-25T02:08:31.533Z""",-0.09,5.2
"""2021-02-25T02:08:37.942Z""",-0.09,5.2
"""2021-02-25T02:08:47.752Z""",-0.09,5.2
"""2021-02-25T02:08:52.358Z""",-0.09,5.2
"""2021-02-25T02:09:02.118Z""",-0.09,5.2
"""2021-02-25T02:09:07.680Z""",-0.09,5.2
"""2021-02-25T02:09:16.590Z""",-0.09,5.2
"""2021-02-25T02:09:22.359Z""",-0.09,5.2
"""2021-02-25T02:09:31.852Z""",-0.09,5.2
"""2021-02-25T02:09:37.439Z""",-0.09,5.2
"""2021-02-25T02:09:46.536Z""",-0.13,5.4
"""2021-02-25T02:09:52.518Z""",-0.12,5.3
"""2021-02-25T02:09:58.825Z""",-0.12,5.3
"""2021-02-25T02:10:05.084Z""",-0.12,5.3
"""2021-02-25T02:10:10.901Z""",-0.12,5.3
"""2021-02-25T02:10:20.978Z""",-0.16,5.6
"""2021-02-25T02:10:25.655Z""",-0.16,5.6
"""2021-02-25T02:10:34.956Z""",-0.16,5.6
"""2021-02-25T02:10:40.777Z""",-0.16,5.6
"""2021-02-25T02:10:46.529Z""",-0.2,5.8
"""2021-02-25T02:10:52.724Z""",-0.16,5.6
"""2021-02-25T02:11:01.892Z""",-0.17,5.6
"""2021-02-25T02:11:07.419Z""",-0.19,5.8
"""2021-02-25T02:11:17.691Z""",0.03,5
"""2021-02-25T02:11:22.577Z""",0,5
"""2021-02-25T02:11:31.602Z""",0.03,5
"""2021-02-25T02:11:37.883Z""",-0.01,5
"""2021-02-25T02:11:46.451Z""",0.03,5
"""2021-02-25T02:11:56.530Z""",-0.01,5
"""2021-02-25T02:12:05.870Z""",0,5
"""2021-02-25T02:12:10.492Z""",0.01,5
"""2021-02-25T02:12:20.885Z""",-0.02,5
"""2021-02-25T02:12:26.638Z""",-0.02,5
"""2021-02-25T02:12:31.553Z""",0.01,5
"""2021-02-25T02:12:37.601Z""",0.01,5
"""2021-02-25T02:12:46.669Z""",0.04,5
"""2021-02-25T02:12:53.683Z""",-0.02,5
"""2021-02-25T02:12:58.416Z""",0.01,5
"""2021-02-25T02:13:04.443Z""",0.04,5
"""2021-02-25T02:13:13.811Z""",0.04,5
"""2021-02-25T02:13:22.838Z""",0.04,5
"""2021-02-25T02:13:29.119Z""",0.01,5
"""2021-02-25T02:13:37.925Z""",0.04,5
"""2021-02-25T02:13:43.867Z""",0.01,5
"""2021-02-25T02:13:52.513Z""",0.05,5
"""2021-02-25T02:14:01.696Z""",0.05,5
"""2021-02-25T02:14:08.064Z""",0.05,5
"""2021-02-25T02:14:16.408Z""",0.06,5.1
"""2021-02-25T02:14:25.488Z""",0.05,5
"""2021-02-25T02:14:31.508Z""",0.06,5.1
"""2021-02-25T02:14:37.473Z""",0.06,5.1
"""2021-02-25T02:14:46.806Z""",0.06,5.1
"""2021-02-25T02:14:52.977Z""",0.06,5.1
"""2021-02-25T02:15:01.698Z""",0.06,5.1
"""2021-02-25T02:15:07.448Z""",0.06,5.1
"""2021-02-25T02:15:16.482Z""",0.12,5.3
"""2021-02-25T02:15:23.575Z""",0.06,5.1
"""2021-02-25T02:15:32.080Z""",0.12,5.3
"""2021-02-25T02:15:37.578Z""",0.06,5.1
"""2021-02-25T02:15:43.713Z""",0.12,5.3
"""2021-02-25T02:15:49.514Z""",0.12,5.3
"""2021-02-25T02:15:59.432Z""",0.12,5.3
"""2021-02-25T02:16:07.611Z""",0.12,5.3
"""2021-02-25T02:16:17.903Z""",0.12,5.3
"""2021-02-25T02:16:23.124Z""",0.12,5.3
"""2021-02-25T02:16:32.273Z""",0.12,5.3
"""2021-02-25T02:16:37.659Z""",0.13,5.4
"""2021-02-25T02:16:46.898Z""",0.13,5.4
"""2021-02-25T02:16:52.817Z""",0.13,5.4
"""2021-02-25T02:17:02.114Z""",0.15,5.5
"""2021-02-25T02:17:07.441Z""",-0.07,5.1
"""2021-02-25T02:17:16.766Z""",-0.07,5.1
"""2021-02-25T02:17:22.798Z""",-0.07,5.1
"""2021-02-25T02:17:31.653Z""",-0.07,5.1
"""2021-02-25T02:17:37.744Z""",-0.07,5.1
"""2021-02-25T02:17:46.688Z""",-0.05,5.1
"""2021-02-25T02:17:55.675Z""",-0.07,5.1
"""2021-02-25T02:18:01.574Z""",-0.09,5.2
"""2021-02-25T02:18:07.740Z""",-0.07,5.1
"""2021-02-25T02:18:16.836Z""",-0.05,5.1
"""2021-02-25T02:18:22.918Z""",-0.07,5.1
"""2021-02-25T02:18:31.547Z""",-0.09,5.2
