time,T_Luar,H_Luar
"""2021-02-25T01:36:43.938Z""",29.4,88.7
"""2021-02-25T01:36:46.941Z""",29.4,88.8
"""2021-02-25T01:36:49.931Z""",29.4,90
"""2021-02-25T01:36:52.936Z""",29.4,90
"""2021-02-25T01:36:55.931Z""",29.4,88.7
"""2021-02-25T01:36:58.938Z""",29.4,89.9
"""2021-02-25T01:37:01.931Z""",29.4,90
"""2021-02-25T01:37:04.933Z""",29.4,89.1
"""2021-02-25T01:37:07.941Z""",29.4,89.9
"""2021-02-25T01:37:10.931Z""",29.4,88.6
"""2021-02-25T01:37:13.934Z""",29.4,89.7
"""2021-02-25T01:37:16.936Z""",29.4,89.7
"""2021-02-25T01:37:19.931Z""",29.4,89.8
"""2021-02-25T01:37:22.937Z""",29.4,89.7
"""2021-02-25T01:37:25.929Z""",29.4,89.7
"""2021-02-25T01:37:28.936Z""",29.4,89.8
"""2021-02-25T01:37:31.931Z""",29.4,89.8
"""2021-02-25T01:37:34.932Z""",29.4,89.8
"""2021-02-25T01:37:37.934Z""",29.4,88.5
"""2021-02-25T01:37:40.929Z""",29.3,89.7
"""2021-02-25T01:37:43.931Z""",29.4,88.5
"""2021-02-25T01:37:46.939Z""",29.4,89.7
"""2021-02-25T01:37:49.930Z""",29.4,88.6
"""2021-02-25T01:37:52.931Z""",29.3,89.7
"""2021-02-25T01:37:55.937Z""",29.3,88.9
"""2021-02-25T01:37:58.929Z""",29.3,89.7
"""2021-02-25T01:38:01.932Z""",29.3,89.7
"""2021-02-25T01:38:04.930Z""",29.3,89.7
"""2021-02-25T01:38:07.932Z""",29.3,88.5
"""2021-02-25T01:38:10.930Z""",29.3,88.5
"""2021-02-25T01:38:13.930Z""",29.3,89.9
"""2021-02-25T01:38:16.930Z""",29.3,89.9
"""2021-02-25T01:38:19.928Z""",29.3,89.9
"""2021-02-25T01:38:22.931Z""",29.3,89.8
"""2021-02-25T01:38:25.929Z""",29.3,89.1
"""2021-02-25T01:38:28.928Z""",29.3,89.9
"""2021-02-25T01:38:31.930Z""",29.3,89.9
"""2021-02-25T01:38:34.927Z""",29.3,89.9
"""2021-02-25T01:38:37.932Z""",29.3,89.9
"""2021-02-25T01:38:40.929Z""",29.3,89.9
"""2021-02-25T01:38:43.927Z""",29.3,89.8
"""2021-02-25T01:38:46.927Z""",29.3,89.9
"""2021-02-25T01:38:49.927Z""",29.3,89.9
"""2021-02-25T01:38:52.927Z""",29.3,88.6
"""2021-02-25T01:38:55.930Z""",29.4,90
"""2021-02-25T01:38:58.928Z""",29.3,89.9
"""2021-02-25T01:39:01.926Z""",29.3,89.8
"""2021-02-25T01:39:04.927Z""",29.3,89.8
"""2021-02-25T01:39:07.927Z""",29.3,88.5
"""2021-02-25T01:39:10.929Z""",29.4,89.9
"""2021-02-25T01:39:13.927Z""",29.4,89.8
"""2021-02-25T01:39:16.930Z""",29.4,89
"""2021-02-25T01:39:19.927Z""",29.4,89.9
"""2021-02-25T01:39:22.929Z""",29.4,89.8
"""2021-02-25T01:39:25.927Z""",29.4,89.8
"""2021-02-25T01:39:28.926Z""",29.4,89.9
"""2021-02-25T01:39:31.930Z""",29.4,89.9
"""2021-02-25T01:39:34.929Z""",29.4,89.8
"""2021-02-25T01:39:37.930Z""",29.4,88.6
"""2021-02-25T01:39:40.928Z""",29.4,89.9
"""2021-02-25T01:39:43.929Z""",29.4,88.5
"""2021-02-25T01:39:46.926Z""",29.4,89
"""2021-02-25T01:39:49.927Z""",29.4,89.9
"""2021-02-25T01:39:52.927Z""",29.5,90
"""2021-02-25T01:39:55.927Z""",29.4,89.8
"""2021-02-25T01:39:58.936Z""",29.4,89.8
"""2021-02-25T01:40:01.926Z""",29.5,88.5
"""2021-02-25T01:40:04.929Z""",29.4,89.8
"""2021-02-25T01:40:07.926Z""",29.5,89.8
"""2021-02-25T01:40:10.929Z""",29.5,88.5
"""2021-02-25T01:40:13.927Z""",29.5,89.6
"""2021-02-25T01:40:16.927Z""",29.5,89.7
"""2021-02-25T01:40:19.930Z""",29.5,88.5
"""2021-02-25T01:40:22.926Z""",29.5,89.7
"""2021-02-25T01:40:25.929Z""",29.5,89.8
"""2021-02-25T01:40:28.927Z""",29.5,89.8
"""2021-02-25T01:40:31.929Z""",29.5,89.5
"""2021-02-25T01:40:34.929Z""",29.4,88.1
"""2021-02-25T01:40:37.930Z""",29.4,88.6
"""2021-02-25T01:40:40.927Z""",29.4,89.4
"""2021-02-25T01:40:43.928Z""",29.4,89.3
"""2021-02-25T01:40:46.929Z""",29.4,89.4
"""2021-02-25T01:40:49.926Z""",29.4,89.5
"""2021-02-25T01:40:52.928Z""",29.4,89.5
"""2021-02-25T01:40:55.929Z""",29.4,88.3
"""2021-02-25T01:40:58.927Z""",29.3,88.1
"""2021-02-25T01:41:01.929Z""",29.3,89.6
"""2021-02-25T01:41:04.927Z""",29.3,89.6
"""2021-02-25T01:41:07.933Z""",29.3,89
"""2021-02-25T01:41:10.926Z""",29.3,89.9
"""2021-02-25T01:41:13.930Z""",29.3,89.7
"""2021-02-25T01:41:16.926Z""",29.3,89.8
"""2021-02-25T01:41:19.930Z""",29.3,89.8
"""2021-02-25T01:41:22.926Z""",29.3,89.8
"""2021-02-25T01:41:25.929Z""",29.3,89.8
"""2021-02-25T01:41:28.926Z""",29.3,90
"""2021-02-25T01:41:31.928Z""",29.3,90
"""2021-02-25T01:41:34.927Z""",29.3,90
"""2021-02-25T01:41:37.933Z""",29.3,90
"""2021-02-25T01:41:40.927Z""",29.3,90
"""2021-02-25T01:41:43.927Z""",29.3,90
"""2021-02-25T01:41:46.932Z""",29.3,90
"""2021-02-25T01:41:49.929Z""",29.3,89.9
"""2021-02-25T01:41:52.927Z""",29.3,90
"""2021-02-25T01:41:55.928Z""",29.4,90
"""2021-02-25T01:41:58.932Z""",29.3,89.2
"""2021-02-25T01:42:01.929Z""",29.4,90.1
"""2021-02-25T01:42:04.926Z""",29.4,90.1
"""2021-02-25T01:42:07.929Z""",29.4,88.9
"""2021-02-25T01:42:10.926Z""",29.4,90.1
"""2021-02-25T01:42:13.929Z""",29.4,88.9
"""2021-02-25T01:42:16.928Z""",29.4,90.1
"""2021-02-25T01:42:19.926Z""",29.4,90.1
"""2021-02-25T01:42:22.927Z""",29.4,90.1
"""2021-02-25T01:42:25.929Z""",29.4,90.1
"""2021-02-25T01:42:28.928Z""",29.4,89.4
"""2021-02-25T01:42:31.929Z""",29.4,90
"""2021-02-25T01:42:34.925Z""",29.4,90
"""2021-02-25T01:42:37.926Z""",29.4,89.8
"""2021-02-25T01:42:40.926Z""",29.5,89.9
"""2021-02-25T01:42:43.929Z""",29.4,89.6
"""2021-02-25T01:42:46.927Z""",29.4,89.7
"""2021-02-25T01:42:49.928Z""",29.4,88.6
"""2021-02-25T01:42:52.930Z""",29.4,89.8
"""2021-02-25T01:42:55.933Z""",29.4,89.7
"""2021-02-25T01:42:58.938Z""",29.4,89.6
"""2021-02-25T01:43:01.928Z""",29.4,89.6
"""2021-02-25T01:43:04.928Z""",29.4,88.3
"""2021-02-25T01:43:07.926Z""",29.4,88.3
"""2021-02-25T01:43:10.930Z""",29.4,89.6
"""2021-02-25T01:43:13.926Z""",29.4,89.6
"""2021-02-25T01:43:16.926Z""",29.4,89.6
"""2021-02-25T01:43:19.935Z""",29.4,88.8
"""2021-02-25T01:43:22.934Z""",29.4,89.6
"""2021-02-25T01:43:25.928Z""",29.4,89.6
"""2021-02-25T01:43:28.925Z""",29.4,89.6
